epoch,loss,val loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,f1,val_f1
131,0.000467,0.000658,0.864,0.751051,0.926166,0.853884,0.911268,0.797633,0.91004,0.811131
132,0.000489,0.000669,0.837,0.741093,0.885093,0.849814,0.875738,0.783719,0.86966,0.801608
133,0.000474,0.000673,0.845,0.746423,0.887928,0.85343,0.883561,0.787782,0.875168,0.805429
134,0.000514,0.000693,0.8405,0.729593,0.912924,0.845656,0.905964,0.771376,0.899875,0.791156
135,0.00049,0.000675,0.8475,0.748947,0.926851,0.828984,0.905877,0.81497,0.905851,0.805883
136,0.000458,0.000711,0.8635,0.698877,0.903538,0.865051,0.902234,0.724143,0.89355,0.77137
137,0.000482,0.00067,0.859,0.75105,0.927998,0.851118,0.916577,0.798996,0.915737,0.809832
138,0.000469,0.00064,0.863,0.77826,0.922748,0.84797,0.92123,0.832412,0.91714,0.827381
139,0.000479,0.000652,0.8555,0.794529,0.931664,0.837292,0.904081,0.865803,0.90714,0.8408
140,0.000454,0.000635,0.8665,0.793266,0.928831,0.855447,0.926089,0.84785,0.92103,0.838957
141,0.000505,0.000656,0.849,0.778821,0.925218,0.834691,0.900407,0.854072,0.903322,0.833787
142,0.000492,0.000653,0.8625,0.780083,0.9309,0.861977,0.91273,0.826129,0.914986,0.829605
143,0.000464,0.00066,0.872,0.749508,0.931206,0.873075,0.922059,0.781269,0.921187,0.80809
144,0.000465,0.000649,0.8365,0.781626,0.914799,0.828898,0.885478,0.862117,0.887824,0.83455
145,0.000462,0.000644,0.8485,0.76718,0.904355,0.853408,0.904232,0.819783,0.895116,0.823369
146,0.000522,0.000643,0.8245,0.758765,0.916048,0.867853,0.88022,0.794252,0.884233,0.816042
147,0.000502,0.000646,0.853,0.774053,0.922105,0.843689,0.91101,0.841274,0.909083,0.830068
148,0.000495,0.000638,0.8435,0.774473,0.921986,0.849337,0.900748,0.830252,0.903152,0.827734
149,0.000449,0.000632,0.876,0.767461,0.930503,0.86114,0.911585,0.811258,0.915254,0.822591
150,0.000445,0.000642,0.862,0.768583,0.931178,0.86796,0.89791,0.805696,0.90295,0.822923
151,0.000436,0.000629,0.871,0.775595,0.932081,0.867591,0.908188,0.818909,0.9125,0.829823
152,0.000495,0.00091,0.8475,0.579242,0.917876,0.746993,0.909208,0.624131,0.905656,0.654356
153,0.00047,0.000618,0.8395,0.809677,0.899691,0.875311,0.869946,0.849693,0.871098,0.850149
154,0.000419,0.000626,0.8895,0.784291,0.954341,0.860259,0.925998,0.829141,0.933928,0.83287
155,0.000385,0.000628,0.8925,0.764375,0.949123,0.867163,0.923579,0.800817,0.930575,0.819844
156,0.000439,0.000649,0.877,0.760448,0.947704,0.874202,0.919567,0.787561,0.92654,0.815925
157,0.000458,0.000658,0.872,0.765497,0.940635,0.861847,0.918643,0.804635,0.923048,0.817089
158,0.000457,0.000645,0.858,0.754277,0.930198,0.879298,0.910661,0.776135,0.912336,0.809096
159,0.000454,0.00063,0.8725,0.777278,0.926688,0.851773,0.914377,0.834512,0.913855,0.830379
160,0.000419,0.000631,0.8935,0.772089,0.937897,0.876973,0.932591,0.804316,0.93012,0.825034
161,0.000452,0.000652,0.865,0.771668,0.916667,0.834217,0.897591,0.849263,0.899592,0.829545
162,0.000448,0.000652,0.8745,0.776016,0.923204,0.875738,0.896996,0.80743,0.902774,0.825363
163,0.000429,0.000598,0.8775,0.820056,0.936145,0.857731,0.924706,0.880149,0.923989,0.859247
164,0.000414,0.000604,0.8975,0.802945,0.955276,0.88572,0.935022,0.833053,0.940007,0.845833
165,0.000422,0.000605,0.8725,0.795792,0.933642,0.872785,0.914796,0.835807,0.913561,0.841983
166,0.000432,0.000642,0.8865,0.770125,0.938607,0.879501,0.933502,0.797006,0.928501,0.822635
167,0.00043,0.000636,0.8775,0.769144,0.934559,0.86917,0.910119,0.806024,0.913206,0.823347
168,0.000402,0.000618,0.9025,0.786535,0.957148,0.871655,0.939357,0.825341,0.942879,0.836282
169,0.000379,0.000615,0.923,0.799158,0.966625,0.882517,0.951514,0.832419,0.953615,0.842849
170,0.000397,0.000624,0.8975,0.777418,0.953837,0.86666,0.928605,0.817637,0.93478,0.828801
171,0.000427,0.00063,0.886,0.803786,0.940627,0.84745,0.925649,0.870032,0.926254,0.849704
